Size,Run,TimeMs
500,1,0.002000000000000
500,2,0.001000000000000
500,3,0.001000000000000
500,4,0.001000000000000
500,5,0.000000000000000
500,6,0.000000000000000
500,7,0.000000000000000
500,8,0.000000000000000
500,9,0.000000000000000
500,10,0.000000000000000
500,11,0.000000000000000
500,12,0.000000000000000
500,13,0.001000000000000
500,14,0.000000000000000
500,15,0.000000000000000
500,16,0.001000000000000
500,17,0.001000000000000
500,18,0.001000000000000
500,19,0.000000000000000
500,20,0.001000000000000
500,21,0.000000000000000
500,22,0.000000000000000
500,23,0.000000000000000
500,24,0.000000000000000
500,25,0.000000000000000
500,26,0.000000000000000
500,27,0.000000000000000
500,28,0.000000000000000
500,29,0.000000000000000
500,30,0.000000000000000
500,31,0.000000000000000
500,32,0.000000000000000
500,33,0.000000000000000
500,34,0.001000000000000
500,35,0.001000000000000
500,36,0.001000000000000
500,37,0.000000000000000
500,38,0.001000000000000
500,39,0.000000000000000
500,40,0.000000000000000
500,41,0.000000000000000
500,42,0.001000000000000
500,43,0.000000000000000
500,44,0.001000000000000
500,45,0.001000000000000
500,46,0.000000000000000
500,47,0.000000000000000
500,48,0.000000000000000
500,49,0.001000000000000
500,50,0.000000000000000
500,51,0.000000000000000
500,52,0.000000000000000
500,53,0.000000000000000
500,54,0.000000000000000
500,55,0.000000000000000
500,56,0.000000000000000
500,57,0.000000000000000
500,58,0.000000000000000
500,59,0.000000000000000
500,60,0.000000000000000
500,61,0.000000000000000
500,62,0.000000000000000
500,63,0.000000000000000
500,64,0.001000000000000
500,65,0.000000000000000
500,66,0.000000000000000
500,67,0.000000000000000
500,68,0.000000000000000
500,69,0.000000000000000
500,70,0.000000000000000
500,71,0.000000000000000
500,72,0.001000000000000
500,73,0.000000000000000
500,74,0.000000000000000
500,75,0.000000000000000
500,76,0.000000000000000
500,77,0.000000000000000
500,78,0.001000000000000
500,79,0.000000000000000
500,80,0.001000000000000
500,81,0.001000000000000
500,82,0.001000000000000
500,83,0.000000000000000
500,84,0.000000000000000
500,85,0.000000000000000
500,86,0.000000000000000
500,87,0.000000000000000
500,88,0.000000000000000
500,89,0.000000000000000
500,90,0.001000000000000
500,91,0.000000000000000
500,92,0.000000000000000
500,93,0.000000000000000
500,94,0.000000000000000
500,95,0.000000000000000
500,96,0.000000000000000
500,97,0.000000000000000
500,98,0.000000000000000
500,99,0.000000000000000
500,100,0.000000000000000
1000,1,0.000000000000000
1000,2,0.000000000000000
1000,3,0.000000000000000
1000,4,0.000000000000000
1000,5,0.000000000000000
1000,6,0.000000000000000
1000,7,0.000000000000000
1000,8,0.001000000000000
1000,9,0.000000000000000
1000,10,0.001000000000000
1000,11,0.000000000000000
1000,12,0.000000000000000
1000,13,0.000000000000000
1000,14,0.000000000000000
1000,15,0.000000000000000
1000,16,0.000000000000000
1000,17,0.000000000000000
1000,18,0.000000000000000
1000,19,0.000000000000000
1000,20,0.001000000000000
1000,21,0.000000000000000
1000,22,0.000000000000000
1000,23,0.001000000000000
1000,24,0.000000000000000
1000,25,0.001000000000000
1000,26,0.001000000000000
1000,27,0.000000000000000
1000,28,0.000000000000000
1000,29,0.000000000000000
1000,30,0.000000000000000
1000,31,0.001000000000000
1000,32,0.000000000000000
1000,33,0.000000000000000
1000,34,0.000000000000000
1000,35,0.000000000000000
1000,36,0.001000000000000
1000,37,0.000000000000000
1000,38,0.000000000000000
1000,39,0.000000000000000
1000,40,0.000000000000000
1000,41,0.001000000000000
1000,42,0.000000000000000
1000,43,0.000000000000000
1000,44,0.000000000000000
1000,45,0.001000000000000
1000,46,0.000000000000000
1000,47,0.001000000000000
1000,48,0.000000000000000
1000,49,0.000000000000000
1000,50,0.000000000000000
1000,51,0.000000000000000
1000,52,0.000000000000000
1000,53,0.000000000000000
1000,54,0.000000000000000
1000,55,0.000000000000000
1000,56,0.001000000000000
1000,57,0.000000000000000
1000,58,0.001000000000000
1000,59,0.001000000000000
1000,60,0.000000000000000
1000,61,0.000000000000000
1000,62,0.000000000000000
1000,63,0.000000000000000
1000,64,0.000000000000000
1000,65,0.000000000000000
1000,66,0.000000000000000
1000,67,0.000000000000000
1000,68,0.000000000000000
1000,69,0.000000000000000
1000,70,0.000000000000000
1000,71,0.000000000000000
1000,72,0.000000000000000
1000,73,0.000000000000000
1000,74,0.000000000000000
1000,75,0.000000000000000
1000,76,0.000000000000000
1000,77,0.000000000000000
1000,78,0.001000000000000
1000,79,0.000000000000000
1000,80,0.000000000000000
1000,81,0.001000000000000
1000,82,0.000000000000000
1000,83,0.000000000000000
1000,84,0.000000000000000
1000,85,0.000000000000000
1000,86,0.000000000000000
1000,87,0.000000000000000
1000,88,0.000000000000000
1000,89,0.000000000000000
1000,90,0.000000000000000
1000,91,0.000000000000000
1000,92,0.001000000000000
1000,93,0.000000000000000
1000,94,0.000000000000000
1000,95,0.000000000000000
1000,96,0.000000000000000
1000,97,0.000000000000000
1000,98,0.000000000000000
1000,99,0.000000000000000
1000,100,0.000000000000000
5000,1,0.000000000000000
5000,2,0.001000000000000
5000,3,0.001000000000000
5000,4,0.000000000000000
5000,5,0.001000000000000
5000,6,0.000000000000000
5000,7,0.000000000000000
5000,8,0.000000000000000
5000,9,0.001000000000000
5000,10,0.000000000000000
5000,11,0.000000000000000
5000,12,0.000000000000000
5000,13,0.001000000000000
5000,14,0.000000000000000
5000,15,0.001000000000000
5000,16,0.001000000000000
5000,17,0.001000000000000
5000,18,0.001000000000000
5000,19,0.001000000000000
5000,20,0.000000000000000
5000,21,0.000000000000000
5000,22,0.000000000000000
5000,23,0.000000000000000
5000,24,0.001000000000000
5000,25,0.000000000000000
5000,26,0.000000000000000
5000,27,0.000000000000000
5000,28,0.001000000000000
5000,29,0.000000000000000
5000,30,0.001000000000000
5000,31,0.001000000000000
5000,32,0.001000000000000
5000,33,0.000000000000000
5000,34,0.001000000000000
5000,35,0.000000000000000
5000,36,0.000000000000000
5000,37,0.000000000000000
5000,38,0.000000000000000
5000,39,0.001000000000000
5000,40,0.001000000000000
5000,41,0.000000000000000
5000,42,0.000000000000000
5000,43,0.000000000000000
5000,44,0.000000000000000
5000,45,0.000000000000000
5000,46,0.001000000000000
5000,47,0.000000000000000
5000,48,0.000000000000000
5000,49,0.000000000000000
5000,50,0.000000000000000
5000,51,0.000000000000000
5000,52,0.000000000000000
5000,53,0.000000000000000
5000,54,0.001000000000000
5000,55,0.001000000000000
5000,56,0.000000000000000
5000,57,0.001000000000000
5000,58,0.000000000000000
5000,59,0.000000000000000
5000,60,0.001000000000000
5000,61,0.001000000000000
5000,62,0.000000000000000
5000,63,0.000000000000000
5000,64,0.000000000000000
5000,65,0.000000000000000
5000,66,0.000000000000000
5000,67,0.000000000000000
5000,68,0.000000000000000
5000,69,0.000000000000000
5000,70,0.000000000000000
5000,71,0.000000000000000
5000,72,0.000000000000000
5000,73,0.000000000000000
5000,74,0.000000000000000
5000,75,0.000000000000000
5000,76,0.000000000000000
5000,77,0.000000000000000
5000,78,0.000000000000000
5000,79,0.001000000000000
5000,80,0.000000000000000
5000,81,0.000000000000000
5000,82,0.000000000000000
5000,83,0.000000000000000
5000,84,0.000000000000000
5000,85,0.000000000000000
5000,86,0.000000000000000
5000,87,0.000000000000000
5000,88,0.000000000000000
5000,89,0.001000000000000
5000,90,0.001000000000000
5000,91,0.001000000000000
5000,92,0.001000000000000
5000,93,0.000000000000000
5000,94,0.001000000000000
5000,95,0.000000000000000
5000,96,0.000000000000000
5000,97,0.001000000000000
5000,98,0.001000000000000
5000,99,0.001000000000000
5000,100,0.000000000000000
10000,1,0.000000000000000
10000,2,0.000000000000000
10000,3,0.001000000000000
10000,4,0.000000000000000
10000,5,0.000000000000000
10000,6,0.000000000000000
10000,7,0.000000000000000
10000,8,0.000000000000000
10000,9,0.000000000000000
10000,10,0.000000000000000
10000,11,0.000000000000000
10000,12,0.001000000000000
10000,13,0.001000000000000
10000,14,0.000000000000000
10000,15,0.000000000000000
10000,16,0.001000000000000
10000,17,0.000000000000000
10000,18,0.000000000000000
10000,19,0.000000000000000
10000,20,0.001000000000000
10000,21,0.000000000000000
10000,22,0.000000000000000
10000,23,0.000000000000000
10000,24,0.000000000000000
10000,25,0.001000000000000
10000,26,0.001000000000000
10000,27,0.001000000000000
10000,28,0.001000000000000
10000,29,0.000000000000000
10000,30,0.000000000000000
10000,31,0.000000000000000
10000,32,0.000000000000000
10000,33,0.000000000000000
10000,34,0.000000000000000
10000,35,0.000000000000000
10000,36,0.000000000000000
10000,37,0.000000000000000
10000,38,0.000000000000000
10000,39,0.000000000000000
10000,40,0.000000000000000
10000,41,0.000000000000000
10000,42,0.000000000000000
10000,43,0.000000000000000
10000,44,0.000000000000000
10000,45,0.001000000000000
10000,46,0.000000000000000
10000,47,0.000000000000000
10000,48,0.000000000000000
10000,49,0.001000000000000
10000,50,0.001000000000000
10000,51,0.000000000000000
10000,52,0.000000000000000
10000,53,0.000000000000000
10000,54,0.000000000000000
10000,55,0.000000000000000
10000,56,0.000000000000000
10000,57,0.001000000000000
10000,58,0.000000000000000
10000,59,0.000000000000000
10000,60,0.000000000000000
10000,61,0.001000000000000
10000,62,0.000000000000000
10000,63,0.000000000000000
10000,64,0.000000000000000
10000,65,0.000000000000000
10000,66,0.001000000000000
10000,67,0.000000000000000
10000,68,0.001000000000000
10000,69,0.000000000000000
10000,70,0.000000000000000
10000,71,0.001000000000000
10000,72,0.000000000000000
10000,73,0.001000000000000
10000,74,0.000000000000000
10000,75,0.000000000000000
10000,76,0.000000000000000
10000,77,0.001000000000000
10000,78,0.001000000000000
10000,79,0.001000000000000
10000,80,0.001000000000000
10000,81,0.000000000000000
10000,82,0.000000000000000
10000,83,0.000000000000000
10000,84,0.000000000000000
10000,85,0.000000000000000
10000,86,0.001000000000000
10000,87,0.000000000000000
10000,88,0.000000000000000
10000,89,0.001000000000000
10000,90,0.000000000000000
10000,91,0.001000000000000
10000,92,0.001000000000000
10000,93,0.000000000000000
10000,94,0.000000000000000
10000,95,0.001000000000000
10000,96,0.001000000000000
10000,97,0.000000000000000
10000,98,0.001000000000000
10000,99,0.000000000000000
10000,100,0.000000000000000
15000,1,0.000000000000000
15000,2,0.000000000000000
15000,3,0.000000000000000
15000,4,0.000000000000000
15000,5,0.000000000000000
15000,6,0.000000000000000
15000,7,0.000000000000000
15000,8,0.000000000000000
15000,9,0.001000000000000
15000,10,0.000000000000000
15000,11,0.001000000000000
15000,12,0.000000000000000
15000,13,0.000000000000000
15000,14,0.000000000000000
15000,15,0.000000000000000
15000,16,0.001000000000000
15000,17,0.000000000000000
15000,18,0.000000000000000
15000,19,0.000000000000000
15000,20,0.000000000000000
15000,21,0.000000000000000
15000,22,0.001000000000000
15000,23,0.000000000000000
15000,24,0.000000000000000
15000,25,0.000000000000000
15000,26,0.001000000000000
